WHISKY,PRESENTER,DATE,AGE,PRICE,SIZE,ABV,$/1.5 oz,ORIGIN,AMOUNT,STATUS,Andrew,Ash,Jeremy,Johnathan,Joss,Luke,Marian,Mike H.,Richard,Scott,Stefan,Steve,John,Miles,Murilo,Hussey,Max,Alex W,Derek,Susan,Len,Paul,Dan,Ashleigh,Don,Melissa,Phil,Dave,Seb,Nick,Chris,JP,Mike A.
Aberfeldy,Seb,24/04/2014,12,55.00,750,40,4,Highland,0,EMPTY,,68,,,73,,74,72,,,66,74,,,,,,,,,,,,,,,66,,71,75,,,
Ancnoc,Jeremy,27/10/2016,23,80.00,700,40,6,Speyside,0.3,OWNED,,34,69,,74,60,77,80,,62,70,72,,,,,,,70,,,,,,,,,,,,,,
Arran Malt Robbie Burns,Steve,23/02/2013,NAS,42.00,700,40,3,Island,0,RETIRED,30,50,,,73,,71,75,,,,71,,76,,,,,,,,,72,,,,,,75,,,,
Auchentoshan American Oak,Marian,26/05/2016,NAS,55.00,750,40,4,Lowland,0.6,OWNED,,75,74,,67,,65,,,68,,76,,,81,,,,,,,,,,,,,,76,,,,
Auchentoshan Springwood,Joss,25/09/2014,NAS,66.00,1000,40,3,Lowland,0.5,OWNED,50,50,,,73,,,,,,,72,,,,,,,,,,65,,,,,69,,,73,,,
Balvenie Doublewood,Stefan,27/11/2014,12,90.00,750,40,6,Speyside,0,EMPTY,35,68,,,80,,78,77,,76,80,78,,75,,,,,,,,,72,,,,69,,,,,,80
Balvenie Signature,Marian,27/09/2012,12,80.00,750,40,5,Speyside,0,RETIRED,65,80,,,82,,80,76,,,,70,,70,,,,,,,,,82,,,,,,74,,,,
Cardhu,Joss,25/04/2013,12,75.00,750,40,5,Speyside,0,RETIRED,55,80,,,78,,70,70,,,,72,,81,,,,,,,,,72,,,,,72,81,,,,
Cragganmore,Dave,27/09/2012,12,85.00,750,40,6,Speyside,0,EMPTY,56,70,,,71,,,70,,,,,,81,,,,,,,,,,,,,,71,75,,,,
Dalmore King Alexander,CLUB (WS1),19/12/2013,NAS,224.00,700,40,15,Highland,,OWNED,86,94,,,87,,95,88,,,,88,,90,,,,,,,,,87,,,,,,,,,,
Glen Deveron,Mike,30/04/2015,20,115.00,1000,40,6,Highland,0.2,OWNED,80,85,,,77,,72,80,,72,,73,68,84,,,78,,,,,,73,,,,70,,,80,,,80
Glen Mhor (1965),CLUB (SS4),23/06/2016,35,320.00,700,40,21,Highland,,OWNED,100,92,,,92,94,,,,94,,96,94,,94,,,,,,,,,,,,,,,,,,
Glenfiddich Select Cask,Ash,30/07/2015,NAS,70.00,1000,40,4,Speyside,0.5,OWNED,,71,,,75,,,,,,74,74,70,72,,,,,,,,,,,,,,,,73,,,
Glenfiddich Select Cask (Blind),CLUB (BT),28/01/2016,NAS,70.00,1000,40,4,Speyside,0.5,OWNED,,63,70,,73,,68,78,,65,,71,,,,71,,,,,,,,,,,,,,,,,
Glenlivet Master Dist. Reserve,Dan,30/04/2015,NAS,60.00,1000,40,3,Speyside,0.7,OWNED,48,50,,,73,,71,75,,76,,74,75,,,,71,,,,,,78,,,,74,,,,,,75
Glenmorangie,Nick,30/07/2015,10,70.00,750,40,5,Highland,0.3,OWNED,,81,,,80,,,,,,75,77,74,73,,,,,,,,,,,,,,,,80,,,
Glenmorangie 10 (Blind),CLUB (BT),28/01/2016,10,70.00,750,40,5,Highland,0.3,OWNED,,70,78,,82,,70,73,,71,,73,,,,69,,,,,,,,,,,,,,,,,
Glenrothes Select Reserve,Marian,27/08/2015,NAS,60.00,750,40,4,Speyside,0.5,OWNED,,80,,,76,72,75,,,73,,77,,,,,,,,,,,,,,,,,,,,,
Highland Park Einar,Ash,24/11/2016,NAS,110.00,1000,40,5,Island,0.7,OWNED,57,75,77,,83,62,,73,75,72,,76,,,74,,,,,,,,,,,,,,,,,,
Jura,Joss,27/02/2014,10,50.00,750,40,3,Island,0.3,OWNED,52,58,,,70,,66,70,,,,73,,69,,,,,,,,,61,,,,64,,64,,65,,
Macallan Amber,Scott,29/01/2015,NAS,100.00,750,40,6,Speyside,0.5,OWNED,,,,,,,76,,,,,76,,,,,,,,,,,,,,,,,,,,,
Macduff,CLUB (WS1),19/12/2013,39,350.00,750,40,21,Highland,,OWNED,72,85,,,83,,87,90,,,,85,,89,,,,,,,,,76,,,,,,,,,,
McClelland  Speyside (Blind),CLUB (BT),28/01/2016,NAS,45.00,750,40,3,Speyside,0,RETIRED,,18,62,,65,,55,53,,49,,63,,,,50,,,,,,,,,,,,,,,,,
McClelland Highland (Blind),CLUB (BT),28/01/2016,NAS,45.00,750,40,3,Highland,0.7,OWNED,,60,55,,65,,60,69,,69,,68,,,,60,,,,,,,,,,,,,,,,,
McClelland Islay (Blind),CLUB (BT),28/01/2016,NAS,45.00,750,40,3,Islay,0,RETIRED,,75,72,,75,,73,72,,80,,78,,,,71,,,,,,,,,,,,,,,,,
Old Pulteney,Mike,30/10/2014,12,78.00,700,40,6,Highland,0.4,OWNED,,70,,,75,,70,75,,72,76,73,,,,,,,,,,,72,,,,71,,,,,,
Port Ellen Connoissuers Choice (1982),CLUB (SS3),24/06/2015,19,320.00,700,40,21,Islay,0,RETIRED,98,93,88,,89,,88,87,,90,,88,,,93,,92,,,,,,94,,,,90,,,,,,70
Redbreast Irish Whisky,Mike,31/03/2016,12,75.00,750,40,5,Ireland,0.5,OWNED,25,76,,,81,,75,75,,77,,75,,,78,,,,,,,,,,,,,,,,,,
Scapa Skiren,Marian,29/09/2016,NAS,80.00,750,40,5,Island,0.7,OWNED,,84,80,,76,,83,86,,,,80,,,82,,,,,,,,,,,,,,,,,,
Tomintoul,Mike,20/12/2012,10,69.00,700,40,5,Speyside,0,RETIRED,63,74,,,74,,73,70,,,,71,,63,,,,,,,,,,,,,,,71,,,,
Tormore,Mike,25/10/2012,12,67.00,1000,40,4,Speyside,0,EMPTY,40,81,,,78,,78,81,,,,78,,79,,,,,,,,,,,,,,,72,,,,
Jura Brooklyn,Steve,28/04/2016,NAS,80.00,750,42,5,Island,0.3,OWNED,85,81,71,,81,,,73,,,76,80,72,,,,,,,,,,,,,,,,,,,,
Auchentoshan Triplewood,Ash,28/11/2013,NAS,75.00,750,43,5,Lowland,0,REPLACE,84,88,,,84,,78,79,,,,81,,78,,,,,,,,,,,,,,,,,,,
Balvenie Caribbean Cask,Andrew,31/07/2014,14,110.00,750,43,7,Speyside,0,EMPTY,82,78,,,79,,,79,,,,78,,,,,,,,,,,,,,,76,75,75,,,,
Benromach,Dan,24/03/2014,10,75.00,750,43,5,Speyside,0,EMPTY,87,85,,,80,,78,80,,,,83,,,,,,,,,,,84,,,,,,83,,,,
Bowmore Darkest,Dan,27/06/2013,15,92.00,750,43,6,Islay,0,REPLACE,90,89,,,81,,81,83,,91,85,90,,81,88,,88,,,,,,90,,,,,,,,,,
Caol Isla,Ash,25/07/2013,12,80.00,1000,43,4,Islay,0.2,OWNED,79,84,,,80,,76,78,,,,81,,77,,,,,,,,,,,,,,,83,,,,
Caol Isla (Blind),CLUB (BT),28/01/2016,12,80.00,1000,43,4,Islay,0.2,OWNED,,78,63,,78,,75,75,,78,,80,,,,80,,,,,,,,,,,,,,,,,
Dalwhinnie,Mike,30/01/2014,15,89.00,750,43,6,Highland,0.3,OWNED,68,75,,,81,,74,84,,,,77,,82,,,,,,,,,72,,,,66,,,,,,
Glenfiddich Bourbon Barrel Reserve,Jeremy,25/02/2016,14,70.00,750,43,5,Speyside,0,EMPTY,93,81,81,,79,,,75,,83,76,77,,,79,77,,,,,,,,,79,,,,,,,,
Glengoyne,Miles,27/11/2014,15,95.00,700,43,7,Highland,0,RETIRED,82,78,,,79,,81,80,,78,82,78,,83,,,,,,,,,83,,,,77,,,,,,78
Glenkinchie,Miles,29/08/2013,12,85.00,750,43,6,Lowland,0.3,OWNED,83,81,,,80,,78,85,,,,84,,82,,,,,,,,,72,,,,69,,,,,,
Glenlivet XXV,CLUB (WS2),18/12/2014,25,350.00,700,43,23,Speyside,0,EMPTY,,,87,,,,91,,,,,95,,,,,,,,,,,,,,,,,,,,,
Glenmorangie Rare,Marian,27/06/2013,18,114.00,750,43,7,Highland,,OWNED,82,91,,,82,,83,82,,,,84,,88,,,,,,,,,82,,,,,,90,,,,
Highland Park,Steve,30/05/2013,12,68.00,750,43,5,Island,0.2,OWNED,,84,,,82,,78,78,,,,83,,79,,,,,,,,,81,,,,,,84,,,,
Jura,Joss,27/02/2014,16,85.00,750,43,6,Island,0.2,OWNED,88,85,,,82,,75,82,,,,84,,77,,,,,,,,,82,,,,78,,84,,73,,
Jura Superstition,Andrew,29/11/2012,13,64.00,750,43,4,Island,0,EMPTY,83,84,,,75,,73,72,,,,81,,77,,,,,,,,,79,,,,,,80,,,,
Lagavaulin,Andrew,27/06/2013,16,115.00,750,43,7,Islay,0,EMPTY,79,78,,,79,,77,75,,,,82,,83,,,,,,,,,78,,,,,,,,,,
Macallan,Mike,29/08/2013,12,93.00,750,43,6,Speyside,0.5,OWNED,63,73,,,75,,75,75,,,,73,,73,,,,,,,,,,,,,,,73,,,,
Macallan Fine Oak,Jeremy,26/03/2015,15,140.00,700,43,9,Speyside,,OWNED,,,,,80,,,,,,,77,,,,,,,,,,,,,,,,,,,,,
