"","WHISKY","PRESENTER","DATE","AGE","PRICE","SIZE","ABV","X..1.5.oz","ORIGIN","AMOUNT","STATUS","Individual","value","WHISKYNAME"
"3","Arran Malt Robbie Burns","Steve","23/02/2013","NAS",42,700,40,3,"Island",0,"RETIRED","Andrew",30,"Arran Malt Robbie Burns NAS"
"5","Auchentoshan Springwood","Joss","25/09/2014","NAS",66,1000,40,3,"Lowland",0.5,"OWNED","Andrew",50,"Auchentoshan Springwood NAS"
"6","Balvenie Doublewood","Stefan","27/11/2014","12",90,750,40,6,"Speyside",0,"EMPTY","Andrew",35,"Balvenie Doublewood 12"
"7","Balvenie Signature","Marian","27/09/2012","12",80,750,40,5,"Speyside",0,"RETIRED","Andrew",65,"Balvenie Signature 12"
"8","Cardhu","Joss","25/04/2013","12",75,750,40,5,"Speyside",0,"RETIRED","Andrew",55,"Cardhu 12"
"9","Cragganmore","Dave","27/09/2012","12",85,750,40,6,"Speyside",0,"EMPTY","Andrew",56,"Cragganmore 12"
"10","Dalmore King Alexander","CLUB (WS1)","19/12/2013","NAS",224,700,40,15,"Highland",NA,"OWNED","Andrew",86,"Dalmore King Alexander NAS"
"11","Glen Deveron","Mike","30/04/2015","20",115,1000,40,6,"Highland",0.2,"OWNED","Andrew",80,"Glen Deveron 20"
"12","Glen Mhor (1965)","CLUB (SS4)","23/06/2016","35",320,700,40,21,"Highland",NA,"OWNED","Andrew",100,"Glen Mhor (1965) 35"
"15","Glenlivet Master Dist. Reserve","Dan","30/04/2015","NAS",60,1000,40,3,"Speyside",0.7,"OWNED","Andrew",48,"Glenlivet Master Dist. Reserve NAS"
"19","Highland Park Einar","Ash","24/11/2016","NAS",110,1000,40,5,"Island",0.7,"OWNED","Andrew",57,"Highland Park Einar NAS"
"20","Jura","Joss","27/02/2014","10",50,750,40,3,"Island",0.3,"OWNED","Andrew",52,"Jura 10"
"22","Macduff","CLUB (WS1)","19/12/2013","39",350,750,40,21,"Highland",NA,"OWNED","Andrew",72,"Macduff 39"
"27","Port Ellen Connoissuers Choice (1982)","CLUB (SS3)","24/06/2015","19",320,700,40,21,"Islay",0,"RETIRED","Andrew",98,"Port Ellen Connoissuers Choice (1982) 19"
"28","Redbreast Irish Whisky","Mike","31/03/2016","12",75,750,40,5,"Ireland",0.5,"OWNED","Andrew",25,"Redbreast Irish Whisky 12"
"30","Tomintoul","Mike","20/12/2012","10",69,700,40,5,"Speyside",0,"RETIRED","Andrew",63,"Tomintoul 10"
"31","Tormore","Mike","25/10/2012","12",67,1000,40,4,"Speyside",0,"EMPTY","Andrew",40,"Tormore 12"
"32","Jura Brooklyn","Steve","28/04/2016","NAS",80,750,42,5,"Island",0.3,"OWNED","Andrew",85,"Jura Brooklyn NAS"
"33","Auchentoshan Triplewood","Ash","28/11/2013","NAS",75,750,43,5,"Lowland",0,"REPLACE","Andrew",84,"Auchentoshan Triplewood NAS"
"34","Balvenie Caribbean Cask","Andrew","31/07/2014","14",110,750,43,7,"Speyside",0,"EMPTY","Andrew",82,"Balvenie Caribbean Cask 14"
"35","Benromach","Dan","24/03/2014","10",75,750,43,5,"Speyside",0,"EMPTY","Andrew",87,"Benromach 10"
"36","Bowmore Darkest","Dan","27/06/2013","15",92,750,43,6,"Islay",0,"REPLACE","Andrew",90,"Bowmore Darkest 15"
"37","Caol Isla","Ash","25/07/2013","12",80,1000,43,4,"Islay",0.2,"OWNED","Andrew",79,"Caol Isla 12"
"39","Dalwhinnie","Mike","30/01/2014","15",89,750,43,6,"Highland",0.3,"OWNED","Andrew",68,"Dalwhinnie 15"
"40","Glenfiddich Bourbon Barrel Reserve","Jeremy","25/02/2016","14",70,750,43,5,"Speyside",0,"EMPTY","Andrew",93,"Glenfiddich Bourbon Barrel Reserve 14"
"41","Glengoyne","Miles","27/11/2014","15",95,700,43,7,"Highland",0,"RETIRED","Andrew",82,"Glengoyne 15"
"42","Glenkinchie","Miles","29/08/2013","12",85,750,43,6,"Lowland",0.3,"OWNED","Andrew",83,"Glenkinchie 12"
"44","Glenmorangie Rare","Marian","27/06/2013","18",114,750,43,7,"Highland",NA,"OWNED","Andrew",82,"Glenmorangie Rare 18"
"46","Jura","Joss","27/02/2014","16",85,750,43,6,"Island",0.2,"OWNED","Andrew",88,"Jura 16"
"47","Jura Superstition","Andrew","29/11/2012","13",64,750,43,4,"Island",0,"EMPTY","Andrew",83,"Jura Superstition 13"
"48","Lagavaulin","Andrew","27/06/2013","16",115,750,43,7,"Islay",0,"EMPTY","Andrew",79,"Lagavaulin 16"
"49","Macallan","Mike","29/08/2013","12",93,750,43,6,"Speyside",0.5,"OWNED","Andrew",63,"Macallan 12"
"51","Nikka Taketsuru Pure Malt","Ash","31/03/2016","NAS",82,750,43,5,"Japan",0.2,"OWNED","Andrew",68,"Nikka Taketsuru Pure Malt NAS"
"52","Oban","Seb","25/04/2013","14",110,750,43,7,"Highland",0,"REPLACE","Andrew",55,"Oban 14"
"53","Oban Little Bay","CLUB (MTL)","25/02/2016","NAS",100,750,43,6,"Highland",0.3,"OWNED","Andrew",89,"Oban Little Bay NAS"
"54","Strathisla","Seb","24/10/2013","12",57,750,43,4,"Speyside",0.2,"OWNED","Andrew",73,"Strathisla 12"
"56","Yamazaki","Richard","24/11/2016","12",120,700,43,8,"Japan",0.3,"OWNED","Andrew",97,"Yamazaki 12"
"57","Yamazaki","CLUB (WS4)","22/12/2016","18",500,750,43,30,"Japan",NA,"OWNED","Andrew",88,"Yamazaki 18"
"58","Mortlach Rare & Old","John","28/04/2016","NAS",100,750,43,6,"Speyside",0.5,"OWNED","Andrew",35,"Mortlach Rare & Old NAS"
"59","Jura","CLUB (MTL)","27/02/2014","21",138,700,44,9,"Island",NA,"OWNED","Andrew",58,"Jura 21"
"60","Smokehead Rock Edition","Scott","22/10/2015","NAS",100,1000,44,5,"Islay",0.3,"OWNED","Andrew",67,"Smokehead Rock Edition NAS"
"61","Talisker Port Ruighe","Joss","28/05/2015","NAS",110,700,45,8,"Island",0,"REPLACE","Andrew",91,"Talisker Port Ruighe NAS"
"62","Ardbeg","Ash","30/05/2013","10",100,1000,46,5,"Islay",0.4,"OWNED","Andrew",82,"Ardbeg 10"
"63","Ardmore","Joss","31/01/2013","NAS",45,700,46,3,"Speyside",0,"EMPTY","Andrew",86,"Ardmore NAS"
"65","Aultmore","Miles","22/10/2015","12",80,750,46,5,"Speyside",0.7,"OWNED","Andrew",42,"Aultmore 12"
"67","Bruichladdich","Dan","31/01/2013","10",63,700,46,5,"Islay",0,"EMPTY","Andrew",80,"Bruichladdich 10"
"68","Clynelish","Seb","29/11/2012","14",80,750,46,5,"Highland",0,"RETIRED","Andrew",77,"Clynelish 14"
"71","Glendronach","Miles","30/01/2014","14",90,700,46,6,"Highland",0.3,"OWNED","Andrew",67,"Glendronach 14"
"73","Glenmorangie Lasanta","Marian","24/03/2014","12",74,1000,46,4,"Highland",0,"EMPTY","Andrew",62,"Glenmorangie Lasanta 12"
"75","Glenmorangie Signet","Ash","27/06/2013","NAS",311,750,46,19,"Highland",NA,"OWNED","Andrew",84,"Glenmorangie Signet NAS"
"76","Glenmorangie Signet","CLUB (SS4)","23/06/2016","NAS",260,750,46,16,"Highland",NA,"OWNED","Andrew",78,"Glenmorangie Signet NAS"
"77","Hazelburn","CLUB (SS1)","20/06/2013","12",129,700,46,9,"Campbeltown",0.4,"OWNED","Andrew",70,"Hazelburn 12"
"78","Jura Prophecy","Andrew","24/10/2013","NAS",95,750,46,6,"Island",0.4,"OWNED","Andrew",83,"Jura Prophecy NAS"
"79","Old Pulteney Noss Head","Murilo","24/09/2015","NAS",NA,1000,46,0,"Highland",0.6,"OWNED","Andrew",72,"Old Pulteney Noss Head NAS"
"80","Springbank","Steve","26/09/2013","10",80,750,46,5,"Campbeltown",0.3,"OWNED","Andrew",76,"Springbank 10"
"82","Talisker Dark Storm","Max","24/09/2015","NAS",90,1000,46,5,"Island",0.4,"OWNED","Andrew",68,"Talisker Dark Storm NAS"
"84","Bunnahabhain","Stefan","27/10/2016","12",90,700,46,6,"Islay",0.4,"OWNED","Andrew",52,"Bunnahabhain 12"
"85","Bunnahabhain Eirigh Na Greine","Mike","01/09/2016","NAS",100,1000,46,5,"Islay",0.4,"OWNED","Andrew",75,"Bunnahabhain Eirigh Na Greine NAS"
"87","Highland Park Dark Origins","Andrew","26/11/2015","NAS",100,750,46,6,"Highland",0,"EMPTY","Andrew",84,"Highland Park Dark Origins NAS"
"88","Highland Park","CLUB (SS2)","19/06/2014","21",300,700,47,20,"Island",NA,"OWNED","Andrew",88,"Highland Park 21"
"89","Glenfiddich Snow Phoenix","CLUB (WS3)","17/12/2015","NAS",250,750,47,15,"Speyside",NA,"OWNED","Andrew",100,"Glenfiddich Snow Phoenix NAS"
"91","Laphoraig Quarter Cask","Miles","20/12/2012","5.7",70,750,48,5,"Islay",0.9,"OWNED","Andrew",87,"Laphoraig Quarter Cask 5.7"
"92","Laphroaig","CLUB (SS2)","19/06/2014","18",180,750,48,11,"Islay",NA,"OWNED","Andrew",94,"Laphroaig 18"
